,pais,anio,inversion
837,estado_de_palestina,2022,232.9411621
838,SUR,2022,7.2837788
839,SWZ,2022,21.2040181618
840,SWE,2022,45963.0673591154
841,CHE,2022,13311.3012013619
842,THA,2022,10033.6581375
843,tfyr_de_macedonia,2022,793.8037623312
844,TLS,2022,262.459429
845,TON,2022,2.8674873
846,trinidad_tobago,2022,-493.1265947
847,TUN,2022,713.3651243717
848,TUR,2022,
849,UGA,2022,1526.1891065
850,UKR,2022,848.0
851,emiratos_arabes_unidos,2022,22736.5554799
852,GBR,2022,14093.3955543065
853,estados_unidos,2022,285057.0
854,URY,2022,3838.7455694
855,VEN,2022,941.3333333
856,VNM,2022,17900.0
857,YEM,2022,
858,ZMB,2022,115.899184
859,ZWE,2022,341.5
